x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-24.667969E-03,+3.864478594E+00,-5.145571549E+00,+1.080559038E+00,+1.313940001E+00
-24.661458E-03,+3.854428346E+00,-5.140546427E+00,+1.085584168E+00,+1.313688744E+00
-24.654948E-03,+3.849403217E+00,-5.140546427E+00,+1.095634415E+00,+1.313186233E+00
-24.648437E-03,+3.839352965E+00,-5.140546423E+00,+1.100659540E+00,+1.313688745E+00
-24.641927E-03,+3.829302714E+00,-5.135521302E+00,+1.105684666E+00,+1.313688744E+00
-24.635417E-03,+3.819252458E+00,-5.135521297E+00,+1.110709792E+00,+1.313186233E+00
-24.628906E-03,+3.804177086E+00,-5.130496176E+00,+1.115734917E+00,+1.314191257E+00
-24.622396E-03,+3.794126834E+00,-5.130496172E+00,+1.120760048E+00,+1.313688744E+00
-24.615885E-03,+3.784076583E+00,-5.125471046E+00,+1.130810289E+00,+1.313186234E+00
-24.609375E-03,+3.774026332E+00,-5.120445925E+00,+1.130810299E+00,+1.314693770E+00
-24.602865E-03,+3.763976081E+00,-5.120445920E+00,+1.140860550E+00,+1.314442514E+00
-24.596354E-03,+3.753925824E+00,-5.115420794E+00,+1.150910797E+00,+1.314693770E+00
-24.589844E-03,+3.738850447E+00,-5.110395674E+00,+1.155935922E+00,+1.314693769E+00
-24.583333E-03,+3.723775075E+00,-5.110395669E+00,+1.160961053E+00,+1.314191258E+00
-24.576823E-03,+3.713724824E+00,-5.105370548E+00,+1.171011299E+00,+1.314442514E+00
-24.570312E-03,+3.703674573E+00,-5.105370543E+00,+1.176036425E+00,+1.314945026E+00
-24.563802E-03,+3.693624322E+00,-5.100345423E+00,+1.181061556E+00,+1.314442514E+00
-24.557292E-03,+3.683574065E+00,-5.100345412E+00,+1.191111802E+00,+1.314442514E+00
-24.550781E-03,+3.668498693E+00,-5.090295172E+00,+1.196136927E+00,+1.314442513E+00
-24.544271E-03,+3.658448436E+00,-5.090295166E+00,+1.201162053E+00,+1.313940001E+00
-24.537760E-03,+3.643373065E+00,-5.085270040E+00,+1.206187184E+00,+1.314191258E+00
-24.531250E-03,+3.633322814E+00,-5.080244920E+00,+1.216237424E+00,+1.314442513E+00
-24.524740E-03,+3.623272563E+00,-5.080244915E+00,+1.216237436E+00,+1.314191258E+00
-24.518229E-03,+3.613222311E+00,-5.075219789E+00,+1.226287687E+00,+1.314442514E+00
-24.511719E-03,+3.603172060E+00,-5.070194669E+00,+1.236337932E+00,+1.314442514E+00
-24.505208E-03,+3.593121802E+00,-5.070194663E+00,+1.241363058E+00,+1.314442514E+00
-24.498698E-03,+3.578046426E+00,-5.065169538E+00,+1.246388190E+00,+1.314693770E+00
-24.492187E-03,+3.562971049E+00,-5.060144418E+00,+1.256438441E+00,+1.314442513E+00
-24.485677E-03,+3.547895684E+00,-5.060144412E+00,+1.266488686E+00,+1.314191259E+00
-24.479167E-03,+3.542870546E+00,-5.055119293E+00,+1.271513812E+00,+1.315698795E+00
-24.472656E-03,+3.527795182E+00,-5.055119286E+00,+1.276538944E+00,+1.315950051E+00
-24.466146E-03,+3.522770043E+00,-5.050094160E+00,+1.286589182E+00,+1.315950052E+00
-24.459635E-03,+3.507694666E+00,-5.045069035E+00,+1.286589196E+00,+1.316201308E+00
-24.453125E-03,+3.492619289E+00,-5.040043909E+00,+1.296639440E+00,+1.316201308E+00
-24.446615E-03,+3.477543919E+00,-5.035018790E+00,+1.301664573E+00,+1.316201308E+00
-24.440104E-03,+3.467493661E+00,-5.035018783E+00,+1.311714817E+00,+1.316452564E+00
-24.433594E-03,+3.452418291E+00,-5.029993651E+00,+1.316739943E+00,+1.316703819E+00
-24.427083E-03,+3.442368032E+00,-5.019943414E+00,+1.321765082E+00,+1.315950052E+00
-24.420573E-03,+3.427292655E+00,-5.019943406E+00,+1.336840445E+00,+1.316201307E+00
-24.414062E-03,+3.412217278E+00,-5.014918281E+00,+1.341865578E+00,+1.315950051E+00
-24.407552E-03,+3.397141909E+00,-5.009893155E+00,+1.351915815E+00,+1.315698796E+00
-24.401042E-03,+3.387091650E+00,-5.004868029E+00,+1.351915829E+00,+1.316452563E+00
-24.394531E-03,+3.372016273E+00,-4.999842904E+00,+1.361966073E+00,+1.315950051E+00
-24.388021E-03,+3.356940904E+00,-4.994817786E+00,+1.366991199E+00,+1.315950052E+00
-24.381510E-03,+3.346890637E+00,-4.994817778E+00,+1.372016332E+00,+1.316201307E+00
-24.375000E-03,+3.326790142E+00,-4.989792652E+00,+1.382066584E+00,+1.315698796E+00
-24.368490E-03,+3.311714773E+00,-4.984767527E+00,+1.392116827E+00,+1.316201308E+00
-24.361979E-03,+3.301664522E+00,-4.979742409E+00,+1.397141961E+00,+1.316201307E+00
-24.355469E-03,+3.291614262E+00,-4.979742401E+00,+1.407192212E+00,+1.315698797E+00
-24.348958E-03,+3.276538886E+00,-4.974717275E+00,+1.417242455E+00,+1.317206334E+00
-24.342448E-03,+3.261463509E+00,-4.969692150E+00,+1.422267581E+00,+1.317708845E+00
-24.335937E-03,+3.246388132E+00,-4.964667024E+00,+1.427292715E+00,+1.317457589E+00
-24.329427E-03,+3.231312755E+00,-4.959641898E+00,+1.437342958E+00,+1.317457589E+00
-24.322917E-03,+3.216237386E+00,-4.954616764E+00,+1.442368083E+00,+1.317708844E+00
-24.316406E-03,+3.206187126E+00,-4.944566522E+00,+1.447393217E+00,+1.317206333E+00
-24.309896E-03,+3.191111741E+00,-4.939541396E+00,+1.457443460E+00,+1.317457590E+00
-24.303385E-03,+3.171011247E+00,-4.934516262E+00,+1.462468595E+00,+1.317960100E+00
-24.296875E-03,+3.155935870E+00,-4.924466028E+00,+1.472518837E+00,+1.317206333E+00
-24.290365E-03,+3.140860502E+00,-4.924466019E+00,+1.477543972E+00,+1.317457590E+00
-24.283854E-03,+3.130810241E+00,-4.919440893E+00,+1.487594223E+00,+1.317960100E+00
-24.277344E-03,+3.115734864E+00,-4.914415768E+00,+1.497644465E+00,+1.317206334E+00
-24.270833E-03,+3.100659479E+00,-4.909390642E+00,+1.502669600E+00,+1.317708846E+00
-24.264323E-03,+3.080558985E+00,-4.904365516E+00,+1.512719842E+00,+1.317960101E+00
-24.257812E-03,+3.065483599E+00,-4.899340391E+00,+1.517744977E+00,+1.317457589E+00
-24.251302E-03,+3.045383105E+00,-4.894315265E+00,+1.527795219E+00,+1.317708845E+00
-24.244792E-03,+3.030307719E+00,-4.889290139E+00,+1.532820345E+00,+1.317708845E+00
-24.238281E-03,+3.010207226E+00,-4.884265004E+00,+1.537845480E+00,+1.317457589E+00
-24.231771E-03,+2.995131849E+00,-4.874214762E+00,+1.547895731E+00,+1.317457589E+00
-24.225260E-03,+2.980056482E+00,-4.869189637E+00,+1.557945982E+00,+1.317457590E+00
-24.218750E-03,+2.970006211E+00,-4.864164501E+00,+1.567996234E+00,+1.317960103E+00
-24.212240E-03,+2.949905728E+00,-4.854114260E+00,+1.578046485E+00,+1.318462615E+00
-24.205729E-03,+2.939855457E+00,-4.849089134E+00,+1.588096726E+00,+1.318713869E+00
-24.199219E-03,+2.919754954E+00,-4.844064009E+00,+1.593121862E+00,+1.318211358E+00
-24.192708E-03,+2.899654472E+00,-4.839038883E+00,+1.603172103E+00,+1.318462614E+00
-24.186198E-03,+2.889604210E+00,-4.834013757E+00,+1.608197239E+00,+1.318462614E+00
-24.179687E-03,+2.874528823E+00,-4.828988632E+00,+1.618247480E+00,+1.318211359E+00
-24.173177E-03,+2.854428321E+00,-4.823963506E+00,+1.623272626E+00,+1.318713870E+00
-24.166667E-03,+2.834327828E+00,-4.818938391E+00,+1.638347983E+00,+1.318462613E+00
-24.160156E-03,+2.819252451E+00,-4.818938370E+00,+1.643373119E+00,+1.317960103E+00
-24.153646E-03,+2.804177085E+00,-4.808888139E+00,+1.653423370E+00,+1.318462613E+00
-24.147135E-03,+2.794126823E+00,-4.808888118E+00,+1.663473621E+00,+1.317708847E+00
-24.140625E-03,+2.779051435E+00,-4.798837888E+00,+1.673523873E+00,+1.318462614E+00
-24.134115E-03,+2.758950943E+00,-4.798837867E+00,+1.683574113E+00,+1.318462612E+00
-24.127604E-03,+2.743875566E+00,-4.788787626E+00,+1.688599250E+00,+1.317457591E+00
-24.121094E-03,+2.728800189E+00,-4.783762501E+00,+1.698649490E+00,+1.318462614E+00
-24.114583E-03,+2.713724802E+00,-4.778737375E+00,+1.703674638E+00,+1.318211357E+00
-24.108073E-03,+2.693624310E+00,-4.773712238E+00,+1.718750004E+00,+1.317708846E+00
-24.101562E-03,+2.678548922E+00,-4.763662009E+00,+1.728800244E+00,+1.318211358E+00
-24.095052E-03,+2.658448442E+00,-4.763661987E+00,+1.733825381E+00,+1.318211360E+00
-24.088542E-03,+2.648398179E+00,-4.753611758E+00,+1.743875632E+00,+1.319216385E+00
-24.082031E-03,+2.633322802E+00,-4.753611747E+00,+1.753925883E+00,+1.319970152E+00
-24.075521E-03,+2.618247425E+00,-4.748586621E+00,+1.763976123E+00,+1.320221406E+00
-24.069010E-03,+2.603172048E+00,-4.743561507E+00,+1.769001249E+00,+1.319467640E+00
-24.062500E-03,+2.588096671E+00,-4.743561484E+00,+1.774026398E+00,+1.319970152E+00
-24.055990E-03,+2.573021306E+00,-4.733511244E+00,+1.789101751E+00,+1.319970151E+00
-24.049479E-03,+2.562971031E+00,-4.728486119E+00,+1.794126889E+00,+1.319718897E+00
-24.042969E-03,+2.542870540E+00,-4.723460993E+00,+1.804177140E+00,+1.320221408E+00
-24.036458E-03,+2.527795163E+00,-4.718435867E+00,+1.814227391E+00,+1.320221406E+00
-24.029948E-03,+2.512719798E+00,-4.713410754E+00,+1.824277655E+00,+1.319216385E+00
-24.023437E-03,+2.502669535E+00,-4.713410741E+00,+1.839352995E+00,+1.320221407E+00
-24.016927E-03,+2.487594170E+00,-4.708385604E+00,+1.839353020E+00,+1.319970151E+00
-24.010417E-03,+2.477543907E+00,-4.698335365E+00,+1.849403271E+00,+1.319718897E+00
-24.003906E-03,+2.462468517E+00,-4.693310251E+00,+1.859453522E+00,+1.320221408E+00
-23.997396E-03,+2.442368027E+00,-4.693310239E+00,+1.869503761E+00,+1.320221407E+00
-23.990885E-03,+2.427292650E+00,-4.688285113E+00,+1.874528912E+00,+1.319718896E+00
